"R01","R02","boundary_event","entry_case","Q1","Q2","surv1","surv2","both_burnout","strain1_only_burnout","strain2_only_burnout","neither_burnout","error_message"
1.2,1.69,"yes","strain2_reentered_before_strain1_escaped",1,0.966826143277349,1.11022302462516e-16,0.0331738567226506,0.966826143277349,0.0331738567226506,1.07339264507605e-16,3.68303795491027e-18,NA
1.2,1.7,"yes","strain2_reentered_before_strain1_escaped",1,0.968408849338741,1.11022302462516e-16,0.0315911506612587,0.968408849338741,0.0315911506612587,1.07514980178662e-16,3.50732228385317e-18,NA
1.2,1.71,"yes","strain2_reentered_before_strain1_escaped",1,0.969883817378191,0,0.0301161826218087,0.969883817378191,0.0301161826218087,0,0,NA
1.2,1.72,"yes","strain2_reentered_before_strain1_escaped",1,0.971259578751754,0,0.0287404212482459,0.971259578751754,0.0287404212482459,0,0,NA
1.2,1.73,"yes","strain2_reentered_before_strain1_escaped",1,0.972543744314717,0,0.0274562556852833,0.972543744314717,0.0274562556852833,0,0,NA
1.2,1.74,"yes","strain2_reentered_before_strain1_escaped",1,0.973743321126971,0,0.0262566788730287,0.973743321126971,0.0262566788730287,0,0,NA
1.2,1.75,"yes","strain2_reentered_before_strain1_escaped",1,0.974864797605087,0,0.0251352023949134,0.974864797605087,0.0251352023949134,0,0,NA
1.2,1.76,"yes","strain2_reentered_before_strain1_escaped",1,0.975914006723695,0,0.0240859932763055,0.975914006723695,0.0240859932763055,0,0,NA
1.2,1.77,"yes","strain2_reentered_before_strain1_escaped",1,0.976896346316301,0,0.023103653683699,0.976896346316301,0.023103653683699,0,0,NA
1.2,1.78,"yes","strain2_reentered_before_strain1_escaped",1,0.97781676352347,0,0.0221832364765299,0.97781676352347,0.0221832364765299,0,0,NA
1.2,1.79,"yes","strain2_reentered_before_strain1_escaped",1,0.978679678650797,0,0.0213203213492028,0.978679678650797,0.0213203213492028,0,0,NA
1.2,1.8,"yes","strain2_reentered_before_strain1_escaped",1,0.979489302498489,0,0.0205106975015114,0.979489302498489,0.0205106975015114,0,0,NA
1.2,1.81,"yes","strain2_reentered_before_strain1_escaped",1,0.980249390068878,0,0.0197506099311221,0.980249390068878,0.0197506099311221,0,0,NA
1.2,1.82,"yes","strain2_reentered_before_strain1_escaped",1,0.980963486148257,0,0.019036513851743,0.980963486148257,0.019036513851743,0,0,NA
1.2,1.83,"yes","strain2_reentered_before_strain1_escaped",1,0.981634746293501,0,0.018365253706499,0.981634746293501,0.018365253706499,0,0,NA
1.2,1.84,"yes","strain2_reentered_before_strain1_escaped",1,0.982266158010354,0,0.0177338419896459,0.982266158010354,0.0177338419896459,0,0,NA
