"step","occupied_patches","global_I","local_extinctions","recolonizations"
99,141,44616,0,0
99.1,141,44513,0,0
99.2,141,44469,0,0
99.3,141,44394,0,0
99.4,140,44418,1,0
99.5,139,44434,1,0
99.6,139,44406,0,0
99.7,139,44329,0,0
99.8,140,44461,0,1
99.9,140,44419,0,0
100,140,44310,0,0
100.1,141,44353,0,1
100.2,141,44460,0,0
100.3,141,44433,0,0
100.4,141,44540,0,0
100.5,141,44577,0,0
100.6,139,44873,2,0
100.7,140,44954,0,1
100.8,140,44943,0,0
100.9,141,45086,0,1
101,141,45262,0,0
101.1,141,45308,0,0
101.2,141,45602,0,0
101.3,141,45743,0,0
101.4,141,45836,0,0
101.5,141,46048,0,0
101.6,142,46274,0,1
101.7,142,46366,0,0
101.8,142,46641,0,0
101.9,142,46663,0,0
102,141,46731,1,0
102.1,141,46727,0,0
102.2,141,46698,0,0
102.3,141,46551,0,0
102.4,141,46481,0,0
102.5,141,46492,0,0
102.6,141,46523,0,0
102.7,141,46408,0,0
102.8,141,46442,0,0
102.9,140,46224,1,0
103,140,46319,0,0
103.1,140,46249,0,0
103.2,140,46357,0,0
103.3,140,46440,0,0
103.4,140,46395,0,0
103.5,140,46536,0,0
103.6,140,46742,0,0
103.7,140,46786,0,0
103.8,140,46954,0,0
103.9,140,47279,0,0
104,140,47520,0,0
104.1,140,47864,0,0
104.2,142,48270,0,2
104.3,142,48551,0,0
104.4,141,48900,1,0
104.5,141,48999,0,0
104.6,141,49257,0,0
104.7,141,49521,0,0
104.8,141,49643,0,0
104.9,140,49822,1,0
105,140,49970,0,0
105.1,140,49900,0,0
105.2,140,50008,0,0
105.3,141,49981,0,1
105.4,141,50204,0,0
105.5,141,50111,0,0
105.6,141,50082,0,0
105.7,141,50064,0,0
105.8,141,50028,0,0
105.9,141,49916,0,0
106,142,49808,0,1
106.1,142,49414,0,0
106.2,142,49019,0,0
106.3,142,48673,0,0
106.4,141,48163,1,0
106.5,141,47833,0,0
106.6,141,47371,0,0
106.7,141,47007,0,0
106.8,141,46690,0,0
106.9,141,46109,0,0
107,142,45673,0,1
107.1,142,45031,0,0
107.2,142,44557,0,0
107.3,142,43981,0,0
107.4,142,43477,0,0
107.5,142,43044,0,0
107.6,141,42496,1,0
107.7,141,41931,0,0
