"step","patches_neither","patches_I1_only","patches_I2_only","patches_both","occupied_I1","occupied_I2","global_I1","global_I2","mean_N","I1_local_extinctions","I1_recolonizations","I2_local_extinctions","I2_recolonizations"
35.3,191,9,0,0,9,0,7091,0,7060.68,0,0,0,0
35.4,191,9,0,0,9,0,6960,0,7082.395,0,0,0,0
35.5,191,9,0,0,9,0,6893,0,7104.22,0,0,0,0
35.6,191,9,0,0,9,0,6809,0,7125.76,0,0,0,0
35.7,191,9,0,0,9,0,6664,0,7147.275,0,0,0,0
35.8,191,9,0,0,9,0,6547,0,7168.54,0,0,0,0
35.9,191,9,0,0,9,0,6408,0,7190.635,0,0,0,0
36,191,9,0,0,9,0,6336,0,7211.855,0,0,0,0
36.1,191,9,0,0,9,0,6190,0,7232.505,0,0,0,0
36.2,191,9,0,0,9,0,6104,0,7253.93,0,0,0,0
36.3,191,9,0,0,9,0,6001,0,7274.995,0,0,0,0
36.4,191,9,0,0,9,0,5925,0,7295.925,0,0,0,0
36.5,191,9,0,0,9,0,5834,0,7315.765,0,0,0,0
36.6,191,9,0,0,9,0,5713,0,7336.515,0,0,0,0
36.7,191,9,0,0,9,0,5609,0,7357.29,0,0,0,0
36.8,191,9,0,0,9,0,5532,0,7377.575,0,0,0,0
36.9,191,9,0,0,9,0,5441,0,7397.94,0,0,0,0
37,191,9,0,0,9,0,5392,0,7417.965,0,0,0,0
37.1,191,9,0,0,9,0,5326,0,7438.83,0,0,0,0
37.2,191,9,0,0,9,0,5268,0,7458.79,0,0,0,0
37.3,191,9,0,0,9,0,5157,0,7478.895,0,0,0,0
37.4,191,9,0,0,9,0,5092,0,7499.23,0,0,0,0
37.5,191,9,0,0,9,0,4999,0,7519.17,0,0,0,0
37.6,191,9,0,0,9,0,5026,0,7539.22,0,0,0,0
37.7,191,9,0,0,9,0,4993,0,7558.86,0,0,0,0
37.8,190,10,0,0,10,0,4985,0,7578.36,0,1,0,0
37.9,190,10,0,0,10,0,4937,0,7597.085,0,0,0,0
38,190,10,0,0,10,0,4970,0,7616.85,0,0,0,0
38.1,190,10,0,0,10,0,4983,0,7635.82,0,0,0,0
38.2,190,10,0,0,10,0,4947,0,7654.82,0,0,0,0
38.3,190,10,0,0,10,0,4926,0,7674.175,0,0,0,0
38.4,190,10,0,0,10,0,4969,0,7692.14,0,0,0,0
38.5,190,10,0,0,10,0,4955,0,7710.7,0,0,0,0
38.6,190,10,0,0,10,0,4980,0,7729.48,0,0,0,0
38.7,190,10,0,0,10,0,4976,0,7747.705,0,0,0,0
38.8,190,10,0,0,10,0,4957,0,7765.725,0,0,0,0
38.9,190,10,0,0,10,0,4967,0,7783.77,0,0,0,0
39,190,10,0,0,10,0,4950,0,7801.615,0,0,0,0
39.1,190,10,0,0,10,0,4957,0,7819.265,0,0,0,0
39.2,189,11,0,0,11,0,5019,0,7836.32,0,1,0,0
39.3,189,11,0,0,11,0,5030,0,7853.365,0,0,0,0
39.4,189,11,0,0,11,0,5081,0,7871.33,0,0,0,0
39.5,189,11,0,0,11,0,5071,0,7888,0,0,0,0
39.6,189,11,0,0,11,0,5078,0,7904.865,0,0,0,0
39.7,189,11,0,0,11,0,4990,0,7921.325,0,0,0,0
39.8,189,11,0,0,11,0,4973,0,7937.66,0,0,0,0
39.9,189,11,0,0,11,0,4893,0,7953.84,0,0,0,0
